  63  63
  0.0000  0.0159  0.0317  0.0476  0.0635  0.0794  0.0952  0.1111
  0.1270  0.1429  0.1587  0.1746  0.1905  0.2063  0.2222  0.2381
  0.2540  0.2698  0.2857  0.3016  0.3175  0.3333  0.3492  0.3651
  0.3810  0.3968  0.4127  0.4286  0.4444  0.4603  0.4762  0.4921
  0.5079  0.5238  0.5397  0.5556  0.5714  0.5873  0.6032  0.6190
  0.6349  0.6508  0.6667  0.6825  0.6984  0.7143  0.7302  0.7460
  0.7619  0.7778  0.7937  0.8095  0.8254  0.8413  0.8571  0.8730
  0.8889  0.9048  0.9206  0.9365  0.9524  0.9683  0.9841  1.0000
  0.0000  0.0159  0.0317  0.0476  0.0635  0.0794  0.0952  0.1111
  0.1270  0.1429  0.1587  0.1746  0.1905  0.2063  0.2222  0.2381
  0.2540  0.2698  0.2857  0.3016  0.3175  0.3333  0.3492  0.3651
  0.3810  0.3968  0.4127  0.4286  0.4444  0.4603  0.4762  0.4921
  0.5079  0.5238  0.5397  0.5556  0.5714  0.5873  0.6032  0.6190
  0.6349  0.6508  0.6667  0.6825  0.6984  0.7143  0.7302  0.7460
  0.7619  0.7778  0.7937  0.8095  0.8254  0.8413  0.8571  0.8730
  0.8889  0.9048  0.9206  0.9365  0.9524  0.9683  0.9841  1.0000
  0.2097E-03  0.2444E-03  0.3793E-03  0.6789E-03  0.1180E-02  0.1838E-02
  0.2528E-02  0.3091E-02  0.3399E-02  0.3412E-02  0.3174E-02  0.2788E-02
  0.2362E-02  0.1980E-02  0.1683E-02  0.1476E-02  0.1345E-02  0.1268E-02
  0.1224E-02  0.1201E-02  0.1189E-02  0.1185E-02  0.1184E-02  0.1187E-02
  0.1192E-02  0.1198E-02  0.1205E-02  0.1210E-02  0.1215E-02  0.1219E-02
  0.1222E-02  0.1223E-02  0.1223E-02  0.1222E-02  0.1219E-02  0.1215E-02
  0.1210E-02  0.1205E-02  0.1198E-02  0.1192E-02  0.1187E-02  0.1184E-02
  0.1185E-02  0.1189E-02  0.1201E-02  0.1224E-02  0.1268E-02  0.1345E-02
  0.1476E-02  0.1683E-02  0.1980E-02  0.2362E-02  0.2788E-02  0.3174E-02
  0.3412E-02  0.3399E-02  0.3091E-02  0.2528E-02  0.1838E-02  0.1180E-02
  0.6789E-03  0.3793E-03  0.2444E-03  0.2097E-03  0.1705E-03  0.2025E-03
  0.3293E-03  0.6156E-03  0.1099E-02  0.1739E-02  0.2415E-02  0.2969E-02
  0.3279E-02  0.3302E-02  0.3082E-02  0.2715E-02  0.2308E-02  0.1942E-02
  0.1657E-02  0.1459E-02  0.1333E-02  0.1259E-02  0.1218E-02  0.1196E-02
  0.1185E-02  0.1181E-02  0.1181E-02  0.1185E-02  0.1190E-02  0.1196E-02
  0.1203E-02  0.1209E-02  0.1214E-02  0.1218E-02  0.1221E-02  0.1223E-02
  0.1223E-02  0.1221E-02  0.1218E-02  0.1214E-02  0.1209E-02  0.1203E-02
  0.1196E-02  0.1190E-02  0.1185E-02  0.1181E-02  0.1181E-02  0.1185E-02
  0.1196E-02  0.1218E-02  0.1259E-02  0.1333E-02  0.1459E-02  0.1657E-02
  0.1942E-02  0.2308E-02  0.2715E-02  0.3082E-02  0.3302E-02  0.3279E-02
  0.2969E-02  0.2415E-02  0.1739E-02  0.1099E-02  0.6156E-03  0.3293E-03
  0.2025E-03  0.1705E-03  0.1701E-03  0.1919E-03  0.2882E-03  0.5250E-03
  0.9452E-03  0.1519E-02  0.2137E-02  0.2657E-02  0.2961E-02  0.3006E-02
  0.2828E-02  0.2513E-02  0.2158E-02  0.1836E-02  0.1584E-02  0.1409E-02
  0.1298E-02  0.1234E-02  0.1199E-02  0.1181E-02  0.1173E-02  0.1171E-02
  0.1173E-02  0.1177E-02  0.1184E-02  0.1191E-02  0.1198E-02  0.1205E-02
  0.1211E-02  0.1216E-02  0.1219E-02  0.1221E-02  0.1221E-02  0.1219E-02
  0.1216E-02  0.1211E-02  0.1205E-02  0.1198E-02  0.1191E-02  0.1184E-02
  0.1177E-02  0.1173E-02  0.1171E-02  0.1173E-02  0.1181E-02  0.1199E-02
  0.1234E-02  0.1298E-02  0.1409E-02  0.1584E-02  0.1836E-02  0.2158E-02
  0.2513E-02  0.2828E-02  0.3006E-02  0.2961E-02  0.2657E-02  0.2137E-02
  0.1519E-02  0.9452E-03  0.5250E-03  0.2882E-03  0.1919E-03  0.1701E-03
  0.4696E-03  0.4691E-03  0.4993E-03  0.6312E-03  0.9193E-03  0.1353E-02
  0.1848E-02  0.2281E-02  0.2548E-02  0.2605E-02  0.2475E-02  0.2227E-02
  0.1941E-02  0.1680E-02  0.1475E-02  0.1334E-02  0.1245E-02  0.1195E-02
  0.1169E-02  0.1157E-02  0.1153E-02  0.1154E-02  0.1159E-02  0.1165E-02
  0.1174E-02  0.1182E-02  0.1191E-02  0.1199E-02  0.1206E-02  0.1211E-02
  0.1215E-02  0.1217E-02  0.1217E-02  0.1215E-02  0.1211E-02  0.1206E-02
  0.1199E-02  0.1191E-02  0.1182E-02  0.1174E-02  0.1165E-02  0.1159E-02
  0.1154E-02  0.1153E-02  0.1157E-02  0.1169E-02  0.1195E-02  0.1245E-02
  0.1334E-02  0.1475E-02  0.1680E-02  0.1941E-02  0.2227E-02  0.2475E-02
  0.2605E-02  0.2548E-02  0.2281E-02  0.1848E-02  0.1353E-02  0.9193E-03
  0.6312E-03  0.4993E-03  0.4691E-03  0.4696E-03  0.1266E-02  0.1229E-02
  0.1151E-02  0.1114E-02  0.1191E-02  0.1399E-02  0.1690E-02  0.1971E-02
  0.2152E-02  0.2190E-02  0.2093E-02  0.1908E-02  0.1695E-02  0.1500E-02
  0.1347E-02  0.1243E-02  0.1180E-02  0.1146E-02  0.1130E-02  0.1126E-02
  0.1127E-02  0.1132E-02  0.1140E-02  0.1150E-02  0.1160E-02  0.1171E-02
  0.1181E-02  0.1191E-02  0.1199E-02  0.1206E-02  0.1210E-02  0.1213E-02
  0.1213E-02  0.1210E-02  0.1206E-02  0.1199E-02  0.1191E-02  0.1181E-02
